,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14
4mC_A.thaliana,NCP,ENAC,binary,EIIP,CKSNAP,Kmer4,RCKmer5,TNC,SCPseTNC,PCPseTNC,PseEIIP,TAC,NAC,ANF
4mC_C.elegans,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,TNC,SCPseTNC,PCPseTNC,RCKmer5,PseEIIP,TAC,NAC,ANF
4mC_D.melanogaster,NCP,binary,ENAC,EIIP,CKSNAP,Kmer4,TNC,PseEIIP,SCPseTNC,PCPseTNC,RCKmer5,TAC,ANF,NAC
4mC_E.coli,ENAC,binary,NCP,Kmer4,TNC,SCPseTNC,PseEIIP,RCKmer5,CKSNAP,PCPseTNC,EIIP,TAC,ANF,NAC
4mC_G.subterraneus,CKSNAP,SCPseTNC,Kmer4,PCPseTNC,PseEIIP,TNC,RCKmer5,ENAC,NCP,binary,NAC,EIIP,TAC,ANF
4mC_G.pickeringii,binary,ENAC,NCP,CKSNAP,Kmer4,RCKmer5,SCPseTNC,PCPseTNC,TNC,PseEIIP,EIIP,NAC,TAC,ANF
4mC_A.thaliana2,ENAC,NCP,binary,EIIP,CKSNAP,RCKmer5,Kmer4,PseEIIP,SCPseTNC,PCPseTNC,TNC,ANF,TAC,NAC
4mC_C.elegans2,ENAC,binary,NCP,EIIP,ANF,CKSNAP,Kmer4,RCKmer5,TNC,SCPseTNC,PseEIIP,PCPseTNC,TAC,NAC
4mC_C.equisetifolia,ENAC,binary,NCP,CKSNAP,TAC,SCPseTNC,PCPseTNC,PseEIIP,Kmer4,TNC,NAC,RCKmer5,ANF,EIIP
4mC_D.melanogaster2,NCP,binary,ENAC,EIIP,CKSNAP,RCKmer5,Kmer4,PseEIIP,PCPseTNC,TNC,SCPseTNC,ANF,TAC,NAC
4mC_E.coli2,ENAC,NCP,binary,EIIP,TNC,PCPseTNC,TAC,CKSNAP,PseEIIP,SCPseTNC,Kmer4,RCKmer5,ANF,NAC
4mC_F.vesca,ENAC,binary,NCP,EIIP,CKSNAP,SCPseTNC,PCPseTNC,TNC,Kmer4,PseEIIP,RCKmer5,NAC,ANF,TAC
4mC_G.pickeringii2,binary,ENAC,NCP,EIIP,PCPseTNC,SCPseTNC,CKSNAP,Kmer4,PseEIIP,TNC,RCKmer5,ANF,TAC,NAC
4mC_G.subterraneus2,binary,ENAC,NCP,EIIP,RCKmer5,ANF,TAC,Kmer4,CKSNAP,TNC,PseEIIP,PCPseTNC,SCPseTNC,NAC
4mC_S.cerevisiae,ENAC,NCP,binary,Kmer4,ANF,CKSNAP,SCPseTNC,TNC,PseEIIP,EIIP,PCPseTNC,RCKmer5,NAC,TAC
4mC_Tolypocladium,ENAC,NCP,binary,EIIP,CKSNAP,PseEIIP,SCPseTNC,PCPseTNC,TNC,RCKmer5,Kmer4,ANF,NAC,TAC